"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"'Nam 1965-1975","Amiga","OCS","Original","1991","Domark","Mid Size","Strategy","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"1st Division Manager","Amiga","","Original","1992","Codemasters","Small cardboard","Sports","Yes","No","","Yes","","41 (£2,81+£0,50)","","","","",""
"3D Pool","Amiga","OCS","Original","1989","Firebird","Mid size","Sports","Yes","No","Yes, Working","Yes","Disk","68 (£3,34+£2,13)","","","","",""
"4-D Boxing","Amiga","OCS","Original","1991","Mindscape","Mid size","Sports","Yes","No","No, stops loading after a while on disk 2","Yes","Disk","50 (99/2)","","","","",""
"50 Great Games","Amiga","OCS","Original","1991","Wicked Software","Big Box","Compilation, Multi","No","Yes","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"688 Attack Sub","Amiga","","Original","1990","Electronic Arts","Mid Size","Simulation","Yes","No","","Yes","","","","","","",""
"1869","Amiga","AGA","Original","1992","Max Design GesMBH","Big Box","Simulation, Strategy","Yes","No","Yes, Working","Yes, two set of disks","Manual","","","","","",""
"A-10 Tank Killer","Amiga","","Original","1991","Dynamix, Inc.","Sierra","Simulation","Yes","No","Yes, Working","Yes","None","66 (30+36)","","","","",""
"A320 Airbus: Edition USA","Amiga","","Original","1993","Thalion Software GmbH","Big Box","Simulation","No","Yes","","Yes","","","","","","",""
"AAARGH!","Amiga","","Original","1988","Arcadia","Custom","Fighting","Yes","No","Yes, Not Working (read/write error)","Yes","Disk","","","Extremely Rare","","",""
"Abandoned Places: A Time for Heroes","Amiga","OCS","Original","1992","Electronic Zoo","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Action Stations!","Amiga","OCS","Original","1991","Internecine","Big Box","Simulation, Strategy","No","Yes","","Yes","","","","","","",""
"The Addams Family","Amiga","","Original","1992","Ocean","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Advanced Ski Simulator","Amiga","","Original","1989","Codemasters","Mid Size","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Advantage Tennis","Amiga","","Original","1991","Infogrames","Mid Size","Sports","Yes","No","","Yes","Code Sheet","","","","","",""
"Adventure Construction Set","Amiga","OCS","Original","1986","Electronic Arts","Custom","Utility","Yes","No","Yes, Working","Yes","None","","","","","",""
"The Adventures of Robin Hood","Amiga","OCS","Original","1991","Millennium","Big Box","Adventure","Yes","No","Yes, Not Working (stops loading on black screen)","Yes","","","","","","",""
"The Adventures Of Willy Beamish","Amiga","","Original","1992","Dynamix, Inc.","Sierra","Adventure","Yes","No","Yes, Working","Yes","None","179","","","","",""
"Afrika Korps","Amiga","OCS","Original","1991","Impressions","Big Box","Strategy","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"After Burner (Activision)","Amiga","","Original","1988","Activision","Custom","Shooter","Yes","No","Yes, Working","Yes, Also budget release disk","Disk","225 (£17.99)","","","","",""
"After The War","Amiga","","Original","1989","Dinamic Software","Thin Paper","Platform","No","No","Yes, Not Working","Yes","Disk","444 (€30+€10,35)","","","","",""
"Agony","Amiga","","Original","1992","Psygnosis","Psygnosis Big Square","Action","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Air Bucks","Amiga","AGA","Original","1992","Impressions","Big Box","Simulation","No","Yes","Yes, Not Working","Yes","","","","","","",""
"Air Support","Amiga","","Original","1992","Psygnosis","Psygnosis Big Square","Action, Simulation, Strategy","Yes","No","Yes, Working","Yes, two set of disks","Manual with 3d glases","","","","","",""
"Airborne Ranger","Amiga","OCS","Original","1989","MicroProse","Mid Size","Action, Simulation","Yes","No","","Yes","","","","","","",""
"Alcatraz","Amiga","","Original","1992","Infogrames","Mid Size","Action","Yes","No","","Yes","Code Sheet","","","","","",""
"Alfred Chicken","Amiga","OCS","Original","1993","Mindscape","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Alien Breed 3D","Amiga","AGA","Original","1995","Team17","Big Box","Action","Yes","No","Yes, Working","Yes","Code Booklet","","","","","",""
"Alien Breed II: The Horror Continues","Amiga","","Original","1993","Team17","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Alien Breed II: The Horror Continues AGA","Amiga","AGA","Original","1993","Team17","Big Box","Action","Yes","No","Yes, Working","Yes, Also install disk and free apache game","Disk","","","","","",""
"Alien Breed: Special Edition 92","Amiga","OCS","Original","1992","Team17","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Alien Breed: Tower Assault","Amiga","","Original","1994","Team17","Big Box","Action","Yes","No","","Yes, 2 set of disks","","","","","","",""
"Alien³","Amiga","OCS","Original","1992","Virgin","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"All New World Of Lemmings","Amiga","AGA","Original","1995","Psygnosis","Big Box","Strategy","Yes","No","Yes, Not Working (read error)","Yes","Manual","","","","","",""
"Allo 'Allo! Cartoon Fun!","Amiga","OCS","Original","1993","Alternative Software Ltd.","Big Box","Platform","Yes","No","","Yes","Disk","","","","","",""
"Alpha Waves","Amiga","","Original","1991","Infogrames","Mid size","Puzzle","Yes","No","","Yes (New, shrink wrapped)","","70 (£5,07+£0,50)","","","","",""
"Altered Destiny","Amiga","OCS","Original","1991","Accolade","Big Box","Adventure","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Ambermoon","Amiga","","Original","1993","Thalion Software GmbH","Big Box","Role-Playing (RPG)","No","Yes","Yes, Working","No, missing manuals and map","","417 (€37,9)","","","","",""
"Amberstar","Amiga","","Original","1992","Thalion Software GmbH","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","369 (299+70)","","","","",""
"Amiga Encounter","Amiga","OCS","Original","1991","Novagen","Mid Size","Shooter","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Amiga Karate","Amiga","","Original","1987","Eidersoft","Custom Triange","Fighting","Yes","No","Yes, Working","Yes/No no manual","None","950 (£65+£11)","","","","",""
"Amiga Soccer","Amiga","","Original","1988","Microdeal","Mid Size","Sports","No","No","Yes, Working","Yes","Disk","","","","","",""
"Amnios","Amiga","OCS","Original","1991","Psygnosis","Custom","Action","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Anarchy","Amiga","","Original","1990","Psygnosis","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Ancient Art of War in the Skies","Amiga","OCS","Original","1993","MicroProse","Big Box","Action","Yes","No","Yes, Not fully working reboots","Yes","","","","","","",""
"Annals of Rome","Amiga","OCS","Original","1988","PSS","Custom","Strategy","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Another World","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Action","Yes","No","Yes, Working","Yes, two set of disks","Code Wheel","","","","","",""
"Antheads: It Came from the Desert II","Amiga","OCS","Original","1990","Mirrorsoft","Small cardboard","Action, Adventure","Yes","No","","Yes","","","","","","",""
"APB","Amiga","OCS","Original","1990","Domark","Mid Size Plastic","Racing","No","No","Yes, Working","Yes","Disk","194 (£9.99+£5,50)","","","","",""
"Apidya","Amiga","OCS","Original","1992","Team17","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Apprentice","Amiga","","Original","1990","Rainbow Arts","Mid size","Platform","Yes","No","Yes, Not Working","No, missing manual","Disk","","","","","",""
"Approach Trainer","Amiga","","Original","1995","Excalibur","Big Box","Simulation","No","Yes","Yes, Working","Yes, German version","None, but manual is needed","70 (£5,07+£0,50)","","","","",""
"Aquanaut","Amiga","","Original","1989","Addictive Games Ltd","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Aquatic Games","Amiga","OCS","Original","1992","Millennium","Big Box","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Aquaventura","Amiga","","Original","1992","Psygnosis","Psygnosis Big Square","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Arabian Nights","Amiga","OCS","Original","1993","Krisalis","Big Box","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Arazok's Tomb","Amiga","OCS","Original","1987","Aegis International","Custom","Adventure","No","Yes","","Yes","","","","Extremely Rare","","",""
"Arcade Pool","Amiga","OCS and AGA","Original","1994","Team17","Small cardboard","Simulation, Sports","Yes","No","Yes, Not Working (black screen)","Yes","Disk","","","","","",""
"Arcade Trivia Quiz","Amiga","","Original","1991","Zeppelin","Small cardboard","Quiz","Yes","No","Yes, Working","Co","Disk","41 (£2,81+£0,50)","","","","",""
"Archer Maclean's Pool","Amiga","OCS","Original","1992","Virgin","Big Box","Sports","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Archon: The Light and the Dark","Amiga","OCS","Original","1986","Electronic Arts","Custom","Action, Strategy","Yes","No","Yes, Not Working (software failiure)","Yes","Disk","","","","","",""
"Arcticfox","Amiga","OCS","Original","1986","Electronic Arts","Custom","Action, Simulation","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Arkanoid: Revenge Of Doh","Amiga","OCS","Original","1988","Imagine","Jewel Case","Reaction & Navigation","Yes","No","Yes, Not Working (stuck on white screen)","Yes","Disk","385 (€18+1€6,99)","","","","",""
"Armada","Amiga","OCS","Original","1989","Arc","Mid Size","Simulation, Strategy","No","Yes","","Yes","","","","","","",""
"Armour-Geddon","Amiga","OCS","Original","1991","Psygnosis","Custom","Action, Simulation, Strategy","Yes","No","Yes, Working (one set is the other not)","Yes, two set of disks","Disk","","","","","",""
"Armour-Geddon 2: Codename Hellfire","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action, Simulation, Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Arthur: The Quest for Excalibur","Amiga","OCS","Original","1989","Infocom, Inc.","Custom","Adventure","No","Yes","Yes, Working","Yes","None","","","","","",""
"Artificial Dreams","Amiga","OCS","Original","1988","Addictive Games Ltd","Small Jewelcase","Shooter","No","Yes","Yes, Not Working Stays at dos prompt","Yes","Disk","","","Extremely Rare","","",""
"Artura","Amiga","OCS","Original","1989","Arcadia","Custom","Fighting","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Ashes of Empire","Amiga","","Original","1992","Mirage Technologies (Multimedia) Ltd.","Big Box","Simulation, Strategy","Yes","No","","Yes, Also instruction WHS","","","","","","",""
"Assassin","Amiga","","Original","1992","Team17","Big Box","Platform","Yes","No","","Yes","","112 (£8,45+£0,50)","","","","",""
"Assassin: Special Edition","Amiga","OCS","Original","1994","Team17","Small cardboard","Action","Yes","No","Yes, Not fully working sofwware failiure after intro screen","Yes","Disk","94 (£5,35+£2,13)","","","","",""
